source_shard,relationship_source,source_recipe_id,recipe_no,recipe_name,category,variant,original_ingredient_id,resolved_ingredient_id,v22_5_canonical_ingredient,original_ingredient,amount_g,amount_status,choice_group,optional,relationship_source_url,nutrient_input_eligible
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,II,ING-0006,ING-0006,Вода,Вода,150,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,II,ING-0029,ING-0029,Макаронные изделия,Макароны сухие,75,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,II,ING-0030,ING-0030,Маргарин столовый,Маргарин при отпуске,10,verified_primary_alternative,service_fat,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,II,ING-0030,ING-0030,Маргарин столовый,Маргарин столовый,5,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,II,ING-0032,ING-0032,Масло сливочное,Масло сливочное при отпуске,10,verified_primary_alternative,service_fat,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,II,ING-0034,ING-0034,"Молоко 3,2%",Молоко,100,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,II,ING-0042,ING-0042,Сахар,Сахар,10,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,II,ING-0053,ING-0053,Сухари панировочные,Сухари,5,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,II,ING-0071,ING-0071,Яйцо куриное,Яйца,20,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,III,ING-0006,ING-0006,Вода,Вода,230,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,III,ING-0029,ING-0029,Макаронные изделия,Макароны сухие,80,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,III,ING-0030,ING-0030,Маргарин столовый,Маргарин при отпуске,10,verified_primary_alternative,service_fat,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,III,ING-0030,ING-0030,Маргарин столовый,Маргарин столовый,5,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,III,ING-0032,ING-0032,Масло сливочное,Масло сливочное при отпуске,10,verified_primary_alternative,service_fat,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,III,ING-0042,ING-0042,Сахар,Сахар,10,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,III,ING-0053,ING-0053,Сухари панировочные,Сухари,5,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v17_pasta,USSR82-451,451,Макаронник,Макаронные изделия,III,ING-0071,ING-0071,Яйцо куриное,Яйца,10,verified_primary_net,,NO,https://studopedia.net/6_116760_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v15_eggs_late340,USSR82-459,459,Яичница глазунья (натуральная),Блюда из яиц,I,ING-0030,ING-0030,Маргарин столовый,Маргарин столовый,10,verified_primary_alternative,fat,NO,https://studopedia.net/6_116761_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
russian_normative_recipes_v22_5_row_nutrients_part4.xlsx,v15_eggs_late340,USSR82-459,459,Яичница глазунья (натуральная),Блюда из яиц,I,ING-0032,ING-0032,Масло сливочное,Масло сливочное,10,verified_primary_alternative,fat,NO,https://studopedia.net/6_116761_rashoda-sirya-vihoda-polufabrikatov-i-gotovih-izdeliy.html,YES
